Name,Image URL,Product URL,Price,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,TDP,Manufacturer,Part #,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Specs Number
AMD Ryzen 7 7800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,$358.99 ,"
8
","
4.2 GHz
","
5 GHz
",N/A,N/A,"
120 W
","
AMD
",100-100000910WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 7600X,//cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,$207.98 ,"
6
","
4.7 GHz
","
5.3 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000593WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 5600X,//cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,$134.00 ,"
6
","
3.7 GHz
","
4.6 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000065BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 5 7600,//cdna.pcpartpicker.com/static/forever/images/product/4a9bfe0a3f46152eea8bea46c54e1775.256p.jpg,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,$187.75 ,"
6
","
3.8 GHz
","
5.1 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100001015BOX,"
Radeon
","
128 GB
","
Yes
","
Yes
",Boxed,"
5 nm
","
Yes
",N/A,20
Intel Core i9-14900K,//cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,$549.00 ,"
24
","
3.2 GHz
","
6 GHz
","
2.4 GHz
","
4.4 GHz
","
125 W
","
Intel
",BX8071514900K,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i7-14700K,//cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,$399.99 ,"
20
","
3.4 GHz
","
5.6 GHz
","
2.5 GHz
","
4.3 GHz
","
125 W
","
Intel
",BX8071514700K,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i5-12400F,//cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,$132.99 ,"
6
","
2.5 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
Intel
",BX8071512400F,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,20
AMD Ryzen 5 5600,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,$139.00 ,"
6
","
3.5 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000927BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 7 7700X,//cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,$293.99 ,"
8
","
4.5 GHz
","
5.4 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000591WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 3600,//cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,$82.99 ,"
6
","
3.6 GHz
","
4.2 GHz
",N/A,N/A,"
65 W
","
AMD
",N/A,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 5 5500,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,$93.98 ,"
6
","
3.6 GHz
","
4.2 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000457BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
Intel Core i5-12600KF,//cdna.pcpartpicker.com/static/forever/images/product/01163d618db9518d03041c9997e23bb1.256p.jpg,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,$151.62 ,"
10
","
3.7 GHz
","
4.9 GHz
","
2.8 GHz
","
3.6 GHz
","
125 W
","
Intel
",BX8071512600KF,"
None
","
128 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 9 7950X3D,//cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,$582.79 ,"
16
","
4.2 GHz
","
5.7 GHz
",N/A,N/A,"
120 W
","
AMD
",100-100000908WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 7 5800X,//cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,$175.00 ,"
8
","
3.8 GHz
","
4.7 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000063WOF,"
None
","
128 GB
","
No
","
No
",Boxed,"
7 nm
","
No
",N/A,20
AMD Ryzen 7 5700X,//cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,$177.89 ,"
8
","
3.4 GHz
","
4.6 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000926WOF,"
None
","
128 GB
","
No
","
No
",Boxed,"
7 nm
","
No
",N/A,20
Intel Core i7-12700K,//cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,$214.98 ,"
12
","
3.6 GHz
","
5 GHz
","
2.7 GHz
","
3.8 GHz
","
125 W
","
Intel
",BX8071512700K,"
Intel UHD Graphics 770
","
128 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i7-13700K,//cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,$334.99 ,"
16
","
3.4 GHz
","
5.4 GHz
","
2.5 GHz
","
4.2 GHz
","
125 W
","
Intel
",N/A,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 5 5600G,//cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,$139.00 ,"
6
","
3.9 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000252BOX,"
Radeon Vega 7
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 7 5800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,$307.82 ,"
8
","
3.4 GHz
","
4.5 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000651WOF,"
None
","
128 GB
","
No
","
No
",Boxed,"
7 nm
","
No
",N/A,20
Intel Core i5-12600K,//cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,$169.99 ,"
10
","
3.7 GHz
","
4.9 GHz
","
2.8 GHz
","
3.6 GHz
","
125 W
","
Intel
",BX8071512600K,"
Intel UHD Graphics 770
","
128 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 9 7900X,//cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,$378.99 ,"
12
","
4.7 GHz
","
5.6 GHz
",N/A,N/A,"
170 W
","
AMD
",100-100000589WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
Intel Core i5-13600K,//cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.256p.jpg,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,$268.98 ,"
14
","
3.5 GHz
","
5.1 GHz
","
2.6 GHz
","
3.9 GHz
","
125 W
","
Intel
",N/A,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 9 5900X,//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,$259.00 ,"
12
","
3.7 GHz
","
4.8 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000061WOF,"
None
","
128 GB
","
No
","
No
",Boxed,"
7 nm
","
No
",N/A,20
Intel Core i3-12100F,//cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,$94.98 ,"
4
","
3.3 GHz
","
4.3 GHz
",N/A,N/A,"
58 W
","
Intel
",BX8071512100F,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,20
Intel Core i7-12700KF,//cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,$189.98 ,"
12
","
3.6 GHz
","
5 GHz
","
2.7 GHz
","
3.8 GHz
","
125 W
","
Intel
",BX8071512700KF,"
None
","
128 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i9-14900KS,//cdna.pcpartpicker.com/static/forever/images/product/7f03744e2c593edbbf711b21d85c59b3.256p.jpg,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,$663.99 ,"
24
","
3.2 GHz
","
6.2 GHz
","
2.4 GHz
","
4.5 GHz
","
150 W
","
Intel
",BX8071514900KS,"
None
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 7 7700,//cdna.pcpartpicker.com/static/forever/images/product/6e6bcad6744a6a7302394f2edf5a6e34.256p.jpg,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,$282.33 ,"
8
","
3.6 GHz
","
5.3 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000592BOX,"
Radeon
","
128 GB
","
Yes
","
Yes
",Boxed,"
5 nm
","
Yes
",N/A,20
Intel Core i5-13400F,//cdna.pcpartpicker.com/static/forever/images/product/17d82d241bff0efdd1c32fbcf9822c14.256p.jpg,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,$185.99 ,"
10
","
2.5 GHz
","
4.6 GHz
","
1.8 GHz
","
3.3 GHz
","
65 W
","
Intel
",BX8071513400F,"
None
","
192 GB
","
No
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,22
Intel Core i5-13600KF,//cdna.pcpartpicker.com/static/forever/images/product/d151778af9f52d6ab1f9475a0ae84dc0.256p.jpg,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,$234.99 ,"
14
","
3.5 GHz
","
5.1 GHz
","
2.6 GHz
","
3.9 GHz
","
125 W
","
Intel
",N/A,"
None
","
192 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i9-13900K,//cdna.pcpartpicker.com/static/forever/images/product/9ec7bf0f10e60c175e9b64c51bab7240.256p.jpg,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,$474.98 ,"
24
","
3 GHz
","
5.8 GHz
","
2.2 GHz
","
4.3 GHz
","
125 W
","
Intel
",N/A,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i7-14700KF,//cdna.pcpartpicker.com/static/forever/images/product/92061d6108d4c4bf0deb77943506df11.256p.jpg,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf,$378.99 ,"
20
","
3.4 GHz
","
5.6 GHz
","
2.5 GHz
","
4.3 GHz
","
125 W
","
Intel
",BX8071514700KF,"
None
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Threadripper 3990X,//cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof,"$4,255.00 ","
64
","
2.9 GHz
","
4.3 GHz
",N/A,N/A,"
280 W
","
AMD
",100-100000163WOF,"
None
","
1024 GB
","
Yes
","
No
",Boxed,"
7 nm
","
No
",N/A,20
Intel Core i9-12900K,//cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,$296.98 ,"
16
","
3.2 GHz
","
5.2 GHz
","
2.4 GHz
","
3.9 GHz
","
125 W
","
Intel
",BX8071512900K,"
Intel UHD Graphics 770
","
128 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 5 4500,//cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,$77.77 ,"
6
","
3.6 GHz
","
4.1 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000644BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 9 7950X,//cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,$549.00 ,"
16
","
4.5 GHz
","
5.7 GHz
",N/A,N/A,"
170 W
","
AMD
",100-100000514WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
Intel Core i5-14600K,//cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,$306.85 ,"
14
","
3.5 GHz
","
5.3 GHz
","
2.6 GHz
","
4 GHz
","
125 W
","
Intel
",BX8071514600K,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 7 3700X,//cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,$205.00 ,"
8
","
3.6 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
AMD
",N/A,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 9 7900X3D,//cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,$399.00 ,"
12
","
4.4 GHz
","
5.6 GHz
",N/A,N/A,"
120 W
","
AMD
",100-100000909WOF,"
Radeon
","
128 GB
","
Yes
","
No
",Boxed,"
5 nm
","
No
",N/A,20
AMD Ryzen 5 7500F,/static/forever/img/no-image.png,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,,"
6
","
3.7 GHz
","
5 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000597BOX,"
None
","
128 GB
","
Yes
","
Yes
",Boxed,"
5 nm
","
Yes
",N/A,20
Intel Core i7-13700KF,//cdna.pcpartpicker.com/static/forever/images/product/b2de198020c1bb1bda375064b94e60dc.256p.jpg,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,$314.99 ,"
16
","
3.4 GHz
","
5.4 GHz
","
2.5 GHz
","
4.2 GHz
","
125 W
","
Intel
",N/A,"
None
","
192 GB
","
No
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i5-14600KF,//cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,$294.00 ,"
14
","
3.5 GHz
","
5.3 GHz
","
2.6 GHz
","
4 GHz
","
125 W
","
Intel
",BX8071514600KF,"
None
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
AMD Ryzen 7 5700G,//cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,$164.00 ,"
8
","
3.8 GHz
","
4.6 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000263BOX,"
Radeon Vega 8
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 5 8500G,//cdna.pcpartpicker.com/static/forever/images/product/9f73f1d2d1ea44c6d0f5d657844e4dac.256p.jpg,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box,$179.00 ,"
6
","
4.1 GHz
","
5 GHz
","
3.2 GHz
","
3.7 GHz
","
65 W
","
AMD
",100-100000931BOX,"
Radeon 740M
",N/A,"
No
","
Yes
",Boxed,"
4 nm
","
Yes
",N/A,21
AMD Ryzen 7 5700X3D,//cdna.pcpartpicker.com/static/forever/images/product/7945bbda871bfbf95a9138fd184f4a6e.256p.jpg,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,$229.00 ,"
8
","
3 GHz
","
4.1 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100001503WOF,"
None
","
128 GB
","
No
","
No
",Boxed,"
7 nm
","
No
",N/A,20
AMD Ryzen 9 5950X,//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,$358.00 ,"
16
","
3.4 GHz
","
4.9 GHz
",N/A,N/A,"
105 W
","
AMD
",100-100000059WOF,"
None
","
128 GB
","
No
","
No
",Boxed,"
7 nm
","
No
",N/A,20
Intel Core i9-14900KF,//cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf,$530.97 ,"
24
","
3.2 GHz
","
6 GHz
","
2.4 GHz
","
4.4 GHz
","
125 W
","
Intel
",BX8071514900KF,"
None
","
192 GB
","
Yes
","
No
",Boxed,"
10 nm
","
No
",N/A,22
Intel Core i5-10400F,//cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,$97.32 ,"
6
","
2.9 GHz
","
4.3 GHz
",N/A,N/A,"
65 W
","
Intel
",BX8070110400F,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,20
AMD Ryzen 5 4600G,//cdna.pcpartpicker.com/static/forever/images/product/29ffd579cd750d1f43cba3ba1c578d8c.256p.jpg,https://pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,$92.00 ,"
6
","
3.7 GHz
","
4.2 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000147BOX,"
Radeon Vega 7
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
Intel Core i5-14400F,//cdna.pcpartpicker.com/static/forever/images/product/7d111ab01170bff686699173af6a0bc0.256p.jpg,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,$209.99 ,"
10
","
2.5 GHz
","
4.7 GHz
","
1.8 GHz
","
3.5 GHz
","
65 W
","
Intel
",BX8071514400F,"
None
","
192 GB
","
Yes
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,22
AMD Ryzen 9 7900,//cdna.pcpartpicker.com/static/forever/images/product/119ef93ef95a60950418031082149c5b.256p.jpg,https://pcpartpicker.com/product/P3cG3C/amd-ryzen-9-7900-36-ghz-12-core-processor-100-100000590box,$369.00 ,"
12
","
3.6 GHz
","
5.4 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000590BOX,"
Radeon
","
128 GB
","
Yes
","
Yes
",Boxed,"
5 nm
","
Yes
",N/A,20
AMD Ryzen 3 4100,//cdna.pcpartpicker.com/static/forever/images/product/43c4d752d1441ed420dd80502e718918.256p.jpg,https://pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box,$68.98 ,"
4
","
3.8 GHz
","
4 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000510BOX,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
7 nm
","
Yes
",N/A,20
AMD Ryzen 7 8700G,//cdna.pcpartpicker.com/static/forever/images/product/5b774f9e574b4170f048e6deab6134cf.256p.jpg,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box,$329.00 ,"
8
","
4.2 GHz
","
5.1 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100001236BOX,"
Radeon 780M
",N/A,"
No
","
Yes
",Boxed,"
4 nm
","
Yes
",N/A,19
Intel Core i5-14500,//cdna.pcpartpicker.com/static/forever/images/product/831cee901cc7f0c74a66a55eba939282.256p.jpg,https://pcpartpicker.com/product/KwXV3C/intel-core-i5-14500-26-ghz-14-core-processor-bx8071514500,$239.99 ,"
14
","
2.6 GHz
","
5 GHz
","
1.9 GHz
","
3.7 GHz
","
65 W
","
Intel
",BX8071514500,"
Intel UHD Graphics 770
","
192 GB
","
Yes
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,22
Intel Core i5-12400,//cdna.pcpartpicker.com/static/forever/images/product/331bcd7f5044608c8b4e0a2437219229.256p.jpg,https://pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400,$161.76 ,"
6
","
2.5 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
Intel
",BX8071512400,"
Intel UHD Graphics 730
","
128 GB
","
No
","
Yes
",Boxed,"
10 nm
","
Yes
",N/A,20
AMD Ryzen 5 2600,//cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,$150.00 ,"
6
","
3.4 GHz
","
3.9 GHz
",N/A,N/A,"
65 W
","
AMD
",YD2600BBAFBOX,"
None
","
64 GB
","
No
","
Yes
",Boxed,"
12 nm
","
Yes
",N/A,20
Intel Core i7-9700K,//cdna.pcpartpicker.com/static/forever/images/product/3760e89d1820da393f084e2c18a62e3b.256p.jpg,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,$275.13 ,"
8
","
3.6 GHz
","
4.9 GHz
",N/A,N/A,"
95 W
","
Intel
",BX80684I79700K,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",Boxed,"
14 nm
","
No
",N/A,20
AMD Ryzen 3 3200G,//cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,$81.39 ,"
4
","
3.6 GHz
","
4 GHz
",N/A,N/A,"
65 W
","
AMD
",N/A,"
Radeon Vega 8
","
64 GB
","
No
","
Yes
",Boxed,"
12 nm
","
Yes
",N/A,20
Intel Core i7-8700K,//cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,$208.00 ,"
6
","
3.7 GHz
","
4.7 GHz
",N/A,N/A,"
95 W
","
Intel
",BX80684I78700K,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",Boxed,"
14 nm
","
No
",N/A,20
