Name,Image URL,Product URL,Price,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,TDP,Manufacturer,Part #,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Specs Number
AMD A8-6600K,/static/forever/img/no-image.png,https://pcpartpicker.com/product/fb7wrH/amd-cpu-ad660kwohlbox,$92.86 ,"
4
","
3.9 GHz
",N/A,N/A,N/A,"
100 W
","
AMD
",AD660KWOHLBOX,"
Radeon HD 8570D
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Core i7-950,/static/forever/img/no-image.png,https://pcpartpicker.com/product/3LNp99/intel-cpu-bx80601950,$100.00 ,"
4
","
3.06 GHz
",N/A,N/A,N/A,"
130 W
","
Intel
",BX80601950,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
AMD A8-7650K,//cdna.pcpartpicker.com/static/forever/images/product/8b2d16abe67a58f7d015fc08189b9f11.256p.jpg,https://pcpartpicker.com/product/ZsYWGX/amd-cpu-ad765kxbjabox,,"
4
","
3.3 GHz
","
3.7 GHz
",N/A,N/A,"
95 W
","
AMD
",AD765KXBJABOX,"
Radeon R7 (on-die)
",N/A,"
No
","
Yes
",Boxed,"
28 nm
","
Yes
",N/A,19
Intel Core i5-7500,//cdna.pcpartpicker.com/static/forever/images/product/a5f032073311e24f210d3c1a0fb30eb6.256p.jpg,https://pcpartpicker.com/product/KmRFf7/intel-core-i5-7500-34ghz-quad-core-oemtray-processor-cm8067702868012,,"
4
","
3.4 GHz
","
3.8 GHz
",N/A,N/A,"
65 W
","
Intel
",CM8067702868012,"
Intel HD Graphics 630
","
64 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Xeon E5-2620 V4,//cdna.pcpartpicker.com/static/forever/images/product/a2c6bbe0c6f6bb7b6bc3eb2468410321.256p.jpg,https://pcpartpicker.com/product/XjZ2FT/intel-cpu-bx80660e52620v4,$429.95 ,"
8
","
2.1 GHz
","
3 GHz
",N/A,N/A,"
85 W
","
Intel
",BX80660E52620V4,"
None
","
1536 GB
","
Yes
","
No
",Boxed,"
14 nm
","
No
",N/A,20
AMD Phenom II X6 1090T Black,https://images-na.ssl-images-amazon.com/images/I/51zg42Jls6L.jpg,https://pcpartpicker.com/product/MkZQzy/amd-cpu-hdt90zfbgrbox,,"
6
","
3.2 GHz
",N/A,N/A,N/A,"
125 W
","
AMD
",HDT90ZFBGRBOX,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Xeon E5-1660 V2,//cdna.pcpartpicker.com/static/forever/images/product/3cd79f999974af41d86ba08aeaec1f27.256p.jpg,https://pcpartpicker.com/product/qr9KHx/intel-cpu-bx80635e51660v2,"$1,129.00 ","
6
","
3.7 GHz
","
4 GHz
",N/A,N/A,"
130 W
","
Intel
",BX80635E51660V2,"
None
",N/A,"
Yes
","
Yes
",Boxed,"
22 nm
","
Yes
",N/A,19
Intel Core i5-9500F,//cdna.pcpartpicker.com/static/forever/images/product/49771d14d439cdcb225dcf97e3e4cb20.256p.jpg,https://pcpartpicker.com/product/vfrYcf/intel-core-i5-9500f-3-ghz-6-core-processor-bx80684i59500f,$249.00 ,"
6
","
3 GHz
","
4.4 GHz
",N/A,N/A,"
65 W
","
Intel
",BX80684I59500F,"
None
","
128 GB
","
No
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,20
Intel Xeon E5-2698 V4,https://images-na.ssl-images-amazon.com/images/I/51lER8-DpVL.jpg,https://pcpartpicker.com/product/GrDzK8/intel-xeon-e5-2698-v4-22ghz-20-core-oemtray-processor-cm8066002024000,,"
20
","
2.2 GHz
","
3.6 GHz
",N/A,N/A,"
135 W
","
Intel
",CM8066002024000,"
None
","
1536 GB
","
Yes
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Core i5-9600KF,//cdna.pcpartpicker.com/static/forever/images/product/a289a7b9f1db29fdb4364c09d7d012f8.256p.jpg,https://pcpartpicker.com/product/TJwkcf/intel-core-i5-9600kf-37-ghz-6-core-oemtray-processor-cm8068403874410,$339.95 ,"
6
","
3.7 GHz
","
4.6 GHz
",N/A,N/A,"
95 W
","
Intel
",CM8068403874410,"
None
","
128 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Xeon E5-2620 V3,https://m.media-amazon.com/images/I/51vdDe8NA9L.jpg,https://pcpartpicker.com/product/fdnG3C/intel-cpu-bx80644e52620v3,,"
6
","
2.4 GHz
","
3.2 GHz
",N/A,N/A,"
85 W
","
Intel
",BX80644E52620V3,"
None
",N/A,"
Yes
","
No
",Boxed,"
22 nm
","
No
",N/A,19
Intel Core i3-6098P,//cdna.pcpartpicker.com/static/forever/images/product/97965106af18bd4de0b76f99d5bcb16c.256p.jpg,https://pcpartpicker.com/product/PyKhP6/intel-core-i3-6098p-36ghz-dual-core-processor-bx80662i36098p,$59.00 ,"
2
","
3.6 GHz
",N/A,N/A,N/A,"
54 W
","
Intel
",BX80662I36098P,"
Intel HD Graphics 510
","
64 GB
","
Yes
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
Intel Core i9-7920X,https://images-na.ssl-images-amazon.com/images/I/31SsklWAJzL.jpg,https://pcpartpicker.com/product/kMRFf7/intel-core-i9-7920x-29ghz-12-core-oemtray-processor-cd8067303753300,,"
12
","
2.9 GHz
","
4.4 GHz
",N/A,N/A,"
140 W
","
Intel
",CD8067303753300,"
None
","
128 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Xeon E5-1620 V4,//cdna.pcpartpicker.com/static/forever/images/product/dc56d2a380288a2495a1b9abfc15fb65.256p.jpg,https://pcpartpicker.com/product/9t7CmG/intel-xeon-e5-1620-v4-35ghz-quad-core-oemtray-processor-cm8066002044103,$148.94 ,"
4
","
3.5 GHz
","
3.8 GHz
",N/A,N/A,"
140 W
","
Intel
",CM8066002044103,"
None
","
1536 GB
","
Yes
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Core i3-7320,https://m.media-amazon.com/images/I/51NQB9peGbL.jpg,https://pcpartpicker.com/product/HgKhP6/intel-core-i3-7320-41ghz-dual-core-processor-bx80677i37320,$51.60 ,"
2
","
4.1 GHz
",N/A,N/A,N/A,"
51 W
","
Intel
",BX80677I37320,"
Intel HD Graphics 630
","
64 GB
","
No
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
Intel Core i5-2320,https://m.media-amazon.com/images/I/51FRkrlF7AL.jpg,https://pcpartpicker.com/product/XtGkcf/intel-cpu-bx80623i52320,,"
4
","
3 GHz
",N/A,N/A,N/A,"
95 W
","
Intel
",BX80623I52320,"
Intel HD Graphics 2000
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Xeon E3-1240L V5,//cdna.pcpartpicker.com/static/forever/images/product/916728df8af047fc330df9c3679d1ef1.256p.jpg,https://pcpartpicker.com/product/G7X2FT/intel-cpu-cm8066201935808,,"
4
","
2.1 GHz
","
3.2 GHz
",N/A,N/A,"
25 W
","
Intel
",CM8066201935808,"
None
","
64 GB
","
Yes
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Core i3-10100T,/static/forever/img/no-image.png,https://pcpartpicker.com/product/Tc8bt6/intel-core-i3-10100t-3-ghz-quad-core-oemtray-processor-cm8070104291412,,"
4
","
3 GHz
","
3.8 GHz
",N/A,N/A,"
35 W
","
Intel
",CM8070104291412,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
