Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
Palit GamingPro OC,//cdna.pcpartpicker.com/static/forever/images/product/19a473f917d2063ea54945d07fd7918d.256p.jpg,https://pcpartpicker.com/product/FNbCmG/palit-geforce-rtx-3090-24-gb-gamingpro-oc-video-card-ned3090s19sb-132ba,,Palit,NED3090S19SB-132BA,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,1725 MHz,19500 MHz,PCIe x16,Black / Silver,G-Sync,294 mm,350 W,2,3,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
Gainward Phantom GS,/static/forever/img/no-image.png,https://pcpartpicker.com/product/dnfFf7/gainward-geforce-rtx-3090-24-gb-phantom-gs-video-card-471056224-2072,,Gainward,471056224-2072,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,1845 MHz,19500 MHz,PCIe x16,Black / Silver,G-Sync,304 mm,350 W,2,3,3 Fans,3 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
GALAX EX White,/static/forever/img/no-image.png,https://pcpartpicker.com/product/K94BD3/galax-geforce-rtx-3070-8-gb-ex-white-1-click-oc-video-card-37nsl6md1ucc,,GALAX,37NSL6MD1UCC,GeForce RTX 3070,8 GB,GDDR6,1500 MHz,1785 MHz,14000 MHz,PCIe x16,White / Black,G-Sync,299 mm,220 W,2,3,2 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Palit GamingPro,//cdna.pcpartpicker.com/static/forever/images/product/e2077f08396652ccb02eccc96fae030c.256p.jpg,https://pcpartpicker.com/product/PDDkcf/palit-geforce-rtx-3060-ti-lhr-8-gb-gamingpro-video-card-ne6306t019p2-1041a,,Palit,NE6306T019P2-1041A,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1665 MHz,14000 MHz,PCIe x16,Black / Silver,G-Sync,294 mm,220 W,2,3,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
KFA2 (1-Click OC),//cdna.pcpartpicker.com/static/forever/images/product/9406102887d4157d281c0ab11cef9c45.256p.jpg,https://pcpartpicker.com/product/qJjNnQ/kfa2-geforce-rtx-3060-ti-8-gb-1-click-oc-video-card-36isl6md1vdk,,KFA2,36ISL6MD1VDK,GeForce RTX 3060 Ti,8 GB,GDDR6,1410 MHz,1680 MHz,14000 MHz,PCIe x16,Black,G-Sync,256 mm,200 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
MSI GAMING TRIO,//cdna.pcpartpicker.com/static/forever/images/product/aafd13796a3b77ccb28162ab07b9fc3e.256p.jpg,https://pcpartpicker.com/product/Mxn8TW/msi-gaming-trio-geforce-rtx-3060-ti-8-gb-video-card-rtx-3060-ti-gaming-trio,,MSI,"RTX 3060 Ti GAMING TRIO, GeForce RTX 3060 Ti GAMING TRIO",GeForce RTX 3060 Ti,8 GB,GDDR6,1410 MHz,1755 MHz,N/A,PCIe x16,Black / Silver,G-Sync,323 mm,240 W,2,3,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Asus Turbo,/static/forever/img/no-image.png,https://pcpartpicker.com/product/dgbTwP/asus-geforce-rtx-3080-10-gb-turbo-video-card-turbo-rtx3080-10g,,Asus,TURBO-RTX3080-10G,GeForce RTX 3080 10GB,10 GB,GDDR6X,1440 MHz,1740 MHz,19000 MHz,PCIe x16,Black / Silver,G-Sync,268 mm,320 W,2,2,1 Fan,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
KFA2 OC,https://m.media-amazon.com/images/I/417msH23jVL.jpg,https://pcpartpicker.com/product/yV4Ycf/kfa2-geforce-gtx-1060-3gb-3-gb-oc-video-card-60nnh7dsl9ck,,KFA2,60NNH7DSL9CK,GeForce GTX 1060 3GB,3 GB,GDDR5,1518 MHz,1733 MHz,8008 MHz,PCIe x16,White / Silver,G-Sync,228 mm,400 W,2,2,2 Fans,1 PCIe 6-pin,1,1,1,N/A,N/A,N/A,N/A,N/A
KFA2 SG (1-Click OC),//cdna.pcpartpicker.com/static/forever/images/product/e863514ff89f177775f2ee6943a1e63f.256p.jpg,https://pcpartpicker.com/product/g2kWGX/kfa2-geforce-rtx-3070-ti-8-gb-sg-1-click-oc-video-card-37ism6md4bsk,,KFA2,37ISM6MD4BSK,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1815 MHz,19000 MHz,PCIe x16,Black,G-Sync,329 mm,290 W,2,3,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Colorful NB-V,/static/forever/img/no-image.png,https://pcpartpicker.com/product/B8Z9TW/colorful-geforce-rtx-3080-ti-12-gb-nb-v-video-card-colorful-geforce-rtx-3080-ti-nb-v,,Colorful,Colorful GeForce RTX 3080 Ti NB-V,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1665 MHz,19000 MHz,PCIe x16,Black / Red,G-Sync,310 mm,350 W,2,3,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
