Name,Image URL,Product URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
be quiet! Shadow Rock Slim 2,//cdna.pcpartpicker.com/static/forever/images/product/9c71e2b7b55c04f593c522031c24f971.256p.jpg,https://pcpartpicker.com/product/JNgFf7/be-quiet-shadow-rock-slim-2-cpu-cooler-bk032,$44.90 ,be quiet!,Shadow Rock Slim 2,BK032,1400 RPM,11.5 - 23.7 dB,Black,161 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Silverstone Hydrogon H90 ARGB,https://m.media-amazon.com/images/I/41iE9hBL5IL.jpg,https://pcpartpicker.com/product/QBgFf7/silverstone-hydrogon-h90-argb-4573-cfm-cpu-cooler-sst-hyh90-argb,,Silverstone,Hydrogon H90 ARGB,SST-HYH90-ARGB,500 - 2600 RPM,11.3 - 34.6 dB,Black / Silver,48 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
ARCTIC Freezer 4U-M,//cdna.pcpartpicker.com/static/forever/images/product/becd355d3a3754d58df8855d9964429a.256p.jpg,https://pcpartpicker.com/product/4M7scf/arctic-freezer-4u-m-cpu-cooler-acfre00133a,$54.99 ,ARCTIC,N/A,ACFRE00133A,400 - 2300 RPM,40 dB,Black / Silver,141 mm,"sTR4, sTRX4",No,No,9
Corsair H115i PRO,//cdna.pcpartpicker.com/static/forever/images/product/018e9b047efd62d8fe78fc3e6d4f5d62.256p.jpg,https://pcpartpicker.com/product/W6RzK8/corsair-h115i-pro-554-cfm-liquid-cpu-cooler-cw-9060032-ww,$249.99 ,Corsair,H115i PRO,CW-9060032-WW,1200 RPM,20.4 dB,N/A,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA2011, LGA2011-3, LGA2066",Yes - 280 mm,No,8
Thermalright AXP90-X53,https://m.media-amazon.com/images/I/41CdEaGI9EL.jpg,https://pcpartpicker.com/product/QfzhP6/thermalright-axp90-x53-4258-cfm-cpu-cooler-axp90-x53-full-black,,Thermalright,N/A,AXP90-X53 FULL BLACK,2700 RPM,22.4 dB,Black,53 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright Silver Soul 135,https://m.media-amazon.com/images/I/51vyhQhWEVL.jpg,https://pcpartpicker.com/product/c3pzK8/thermalright-silver-soul-135-82-cfm-cpu-cooler-ss135,$32.90 ,Thermalright,Silver Soul 135,SS135,1850 RPM,29.6 dB,Silver,135 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
ID-COOLING IS-40X,//cdna.pcpartpicker.com/static/forever/images/product/1685f7c6ccecaadefb5a5d6c92176110.256p.jpg,https://pcpartpicker.com/product/chK2FT/id-cooling-is-40x-443-cfm-cpu-cooler-is-40x,$26.99 ,ID-COOLING,N/A,IS-40X,600 - 2500 RPM,14 - 33 dB,Black / White,45 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No,9
Cooler Master MasterAir MA612 Stealth,//cdna.pcpartpicker.com/static/forever/images/product/78499447dc53bf3ac701b6b4e2da1986.256p.jpg,https://pcpartpicker.com/product/GjQcCJ/cooler-master-masterair-ma612-stealth-62-cfm-cpu-cooler-map-t6ps-218pk-r1,$63.99 ,Cooler Master,MasterAir MA612 Stealth,MAP-T6PS-218PK-R1,650 - 1800 RPM,8 - 27 dB,N/A,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Thermalright Frost Spirit 140,https://m.media-amazon.com/images/I/51dmkBxxETL.jpg,https://pcpartpicker.com/product/ckwypg/thermalright-frost-spirit-140-778-cfm-cpu-cooler-frost-spirit-140,,Thermalright,N/A,"Frost Spirit 140, FS 140",1500 RPM,25.6 dB,Gray,158 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Yeston zeaginal Sakura,//cdna.pcpartpicker.com/static/forever/images/product/35fa987929573f5d719fe47dbed32c40.256p.jpg,https://pcpartpicker.com/product/ZVP8TW/yeston-zeaginal-sakura-594-cfm-liquid-cpu-cooler-sakura-360-argb,$109.90 ,Yeston,N/A,Sakura 360-ARGB,900 - 1800 RPM,30 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
Phanteks GLACIER ONE 240D30,//cdna.pcpartpicker.com/static/forever/images/product/af89cc95b171ee2e02a37dee1658805f.256p.jpg,https://pcpartpicker.com/product/srRwrH/phanteks-glacier-one-240d30-643-cfm-liquid-cpu-cooler-ph-go240d30_dbk01,,Phanteks,GLACIER ONE 240D30,PH-GO240D30_DBK01,250 - 2000 RPM,30.2 dB,Black,51 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,10
KOLINK Umbra EX180,//cdna.pcpartpicker.com/static/forever/images/product/a3acedad9d1908d9ccf83c7c0bf6c627.256p.jpg,https://pcpartpicker.com/product/2jxxFT/kolink-umbra-ex180-736-cfm-cpu-cooler-pgw-cc-kol-001,,KOLINK,N/A,"PGW-CC-KOL-001, UMBRA-EX180-ARGB",800 - 1800 RPM,28.6 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermaltake TOUGHAIR 510,//cdna.pcpartpicker.com/static/forever/images/product/a6bb7e8974889b9fd6e3a27d2dc737a5.256p.jpg,https://pcpartpicker.com/product/cmH7YJ/thermaltake-5835-cfm-cpu-cooler-cl-p075-al12bl-a,$46.99 ,Thermaltake,N/A,CL-P075-AL12BL-A,500 - 2000 RPM,23.6 dB,Black / Gray,160 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Alphacool Core Ocean T38,//cdna.pcpartpicker.com/static/forever/images/product/ac05e6673867fb91d4ef6d64b8a054ca.256p.jpg,https://pcpartpicker.com/product/s8mNnQ/alphacool-core-ocean-t38-923-cfm-liquid-cpu-cooler-13054,$93.50 ,Alphacool,N/A,13054,N/A,0 - 36 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 420 mm,No,7
Aerocool Cylon 4,//cdna.pcpartpicker.com/static/forever/images/product/2ebf95038181a36ba058561130516e4d.256p.jpg,https://pcpartpicker.com/product/gxVG3C/aerocool-cylon-4-525-cfm-cpu-cooler-actc-cl3041001,$51.20 ,Aerocool,Cylon 4,ACTC-CL30410.01,800 - 1800 RPM,14 - 26 dB,Black,155 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA2011, LGA2011-3, LGA2066",No,No,10
BitFenix Cube ARGB,//cdna.pcpartpicker.com/static/forever/images/product/d154e684035df561a0b0c7775fa7f88f.256p.jpg,https://pcpartpicker.com/product/8Ggrxr/bitfenix-cube-argb-60-cfm-liquid-cpu-cooler-bfw-aio-360-ww27a-rp,$99.90 ,BitFenix,N/A,BFW-AIO-360-WW27A-RP,2000 RPM,34 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
ENDORFY Navis F360 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/dfa48950ed25589c17a5c9a407b39556.256p.jpg,https://pcpartpicker.com/product/YgfxFT/endorfy-navis-f360-argb-liquid-cpu-cooler-ey3b006,$170.88 ,ENDORFY,Navis F360 ARGB,EY3B006,250 - 1800 RPM,N/A,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
Thermaltake TH280 V2 ARGB Sync,https://m.media-amazon.com/images/I/31jfUcg573L.jpg,https://pcpartpicker.com/product/J7n9TW/thermaltake-th280-v2-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w377-pl14sw-a,$109.99 ,Thermaltake,TH280 V2 ARGB Sync,CL-W377-PL14SW-A,500 - 1800 RPM,34.7 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 280 mm,No,9
Corsair iCUE H60i RGB PRO XT,//cdna.pcpartpicker.com/static/forever/images/product/8cbd47030939390856bc3ff48407971f.256p.jpg,https://pcpartpicker.com/product/HVtKHx/corsair-icue-h60i-rgb-pro-xt-75-cfm-liquid-cpu-cooler-cw-9060049-ww,$237.12 ,Corsair,iCUE H60i RGB PRO XT,CW-9060049-WW,2400 RPM,10 - 37 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 120 mm,No,9
ID-COOLING FROZN A720 BLACK,https://m.media-amazon.com/images/I/41rNvDDQC3L.jpg,https://pcpartpicker.com/product/HbDQzy/id-cooling-frozn-a720-black-986-cfm-cpu-cooler-frozn-a720-black,$69.98 ,ID-COOLING,N/A,FROZN A720 BLACK,500 - 2000 RPM,33.5 dB,Black,163 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Amazon Basics,https://m.media-amazon.com/images/I/41i7SY-d0nL.jpg,https://pcpartpicker.com/product/Ny26Mp/amazon-basics-341-cfm-cpu-cooler-rr-h410-20pc-as,$29.69 ,Amazon,N/A,RR-H410-20PC-AS,600 - 2000 RPM,6 - 29 dB,N/A,136 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,8
Enermax ETS-N31-02,//cdna.pcpartpicker.com/static/forever/images/product/681623bad5c9610faddde99e58c921ae.256p.jpg,https://pcpartpicker.com/product/gzRzK8/enermax-ets-n31-02-328-cfm-cpu-cooler-ets-n31-02,$22.99 ,Enermax,N/A,ETS-N31-02,800 - 2000 RPM,24.5 dB,Black / Silver,125 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366",No,No,9
Fractal Design Lumen S28 V2,//cdna.pcpartpicker.com/static/forever/images/product/8fc9289e56cb76c2e4d41af9b953a499.256p.jpg,https://pcpartpicker.com/product/HgtLrH/fractal-design-lumen-s28-v2-78-cfm-liquid-cpu-cooler-fd-w-l1-s2811,$194.17 ,Fractal Design,Lumen S28 V2,FD-W-L1-S2811,500 - 1700 RPM,10 - 35.5 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 280 mm,No,9
ID-COOLING FROZN A610,https://m.media-amazon.com/images/I/41-Nw-FkCQL.jpg,https://pcpartpicker.com/product/pwfxFT/id-cooling-frozn-a610-78-cfm-cpu-cooler-frozn-a610-argb,$49.99 ,ID-COOLING,N/A,FROZN A610 ARGB,500 - 2000 RPM,29.9 dB,Black,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Antec Symphony ARGB,//cdna.pcpartpicker.com/static/forever/images/product/8c6187af178670cadf258b736d1e604d.256p.jpg,https://pcpartpicker.com/product/48bRsY/antec-symphony-argb-72-cfm-liquid-cpu-cooler-0-761345-74044-9,$150.74 ,Antec,N/A,0-761345-74044-9,800 - 1600 RPM,20 - 35 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
ID-COOLING DK-03,//cdna.pcpartpicker.com/static/forever/images/product/8cd7f429f66d5e9bb5ebac3832a1bf35.256p.jpg,https://pcpartpicker.com/product/6H2rxr/id-cooling-cpu-cooler-dk03,,ID-COOLING,N/A,DK-03,1600 RPM,26.4 dB,N/A,63 mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No,8
Enermax ETS-T50 AXE ARGB,//cdna.pcpartpicker.com/static/forever/images/product/96652f51aeefa4b98af2d67681958869.256p.jpg,https://pcpartpicker.com/product/KJyqqs/enermax-ets-t50-axe-argb-7132-cfm-cpu-cooler-ets-t50a-w-argb,$34.99 ,Enermax,ETS-T50 AXE ARGB,ETS-T50A-W-ARGB,500 - 1600 RPM,14 - 24 dB,White,160 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Lian Li Galahad AIO360 (2022),https://m.media-amazon.com/images/I/41kNtSl2oEL.jpg,https://pcpartpicker.com/product/TPpzK8/lian-li-galahad-aio360-2022-6917-cfm-liquid-cpu-cooler-ga-360b-black,,Lian Li,Galahad AIO360 (2022),"GA-360B BLACK, GALAHAD 360 RGB BLACK V2",800 - 1900 RPM,32 dB,Black / Silver,62 mm,"AM4, AM5, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,10
Antec VORTEX 240,//cdna.pcpartpicker.com/static/forever/images/product/a45bfaa86b76fe6286c3cab2f24e776b.256p.jpg,https://pcpartpicker.com/product/q4ytt6/antec-vortex-240-5793-cfm-liquid-cpu-cooler-0-761345-74046-3,$102.51 ,Antec,VORTEX 240,"0-761345-74046-3, VORTEX 240 ARGB",600 - 2000 RPM,31.24 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Enermax ETS-T40F-TB,https://m.media-amazon.com/images/I/51pUPuAIFWL.jpg,https://pcpartpicker.com/product/TJfmP6/enermax-ets-t40f-tb-4772-cfm-cpu-cooler-ets-t40f-tb,$18.99 ,Enermax,N/A,ETS-T40F-TB,900 - 1800 RPM,11 - 21 dB,N/A,162 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,8
Alphacool Eisbaer Aurora 420,//cdna.pcpartpicker.com/static/forever/images/product/ed3ed8d3d4b222eaa01c6956a23b477e.256p.jpg,https://pcpartpicker.com/product/2dzFf7/alphacool-eisbaer-aurora-420-418-cfm-liquid-cpu-cooler-11731,$189.95 ,Alphacool,Eisbaer Aurora 420,11731,600 - 1500 RPM,N/A,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 420 mm,No,8
Thermalright Aqua Elite ARGB,https://m.media-amazon.com/images/I/41e+R85tRYL.jpg,https://pcpartpicker.com/product/Kqrqqs/thermalright-aqua-elite-argb-6617-cfm-liquid-cpu-cooler-aqua-elite-240-white-argb,,Thermalright,N/A,Aqua Elite 240 WHITE ARGB,1550 RPM,25.6 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Cooler Master Hyper 212 LED Turbo White Edition,//cdna.pcpartpicker.com/static/forever/images/product/96a583c2559c54b1358546e847f987d5.256p.jpg,https://pcpartpicker.com/product/jdWBD3/cooler-master-hyper-212-led-turbo-white-edition-663-cfm-cpu-cooler-rr-212tw-16pw-r1,,Cooler Master,Hyper 212 LED Turbo White Edition,RR-212TW-16PW-R1,600 - 1600 RPM,9 - 31 dB,White,160 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA2011, LGA2011-3, LGA2066",No,No,10
ENDORFY Navis F240,//cdna.pcpartpicker.com/static/forever/images/product/c55a60977983fe5f7919d15a30e40b33.256p.jpg,https://pcpartpicker.com/product/8zKscf/endorfy-navis-f240-liquid-cpu-cooler-ey3b001,$119.56 ,ENDORFY,Navis F240,EY3B001,250 - 1800 RPM,N/A,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Deepcool GAMMAXX L240 A-RGB,//cdna.pcpartpicker.com/static/forever/images/product/23fd7d2ac72f1070a1ba99981e5bbed4.256p.jpg,https://pcpartpicker.com/product/wJcG3C/deepcool-gammaxx-l240-a-rgb-6934-cfm-liquid-cpu-cooler-dp-h12cf-gl240-argb,,Deepcool,GAMMAXX L240 A-RGB,DP-H12CF-GL240-ARGB,500 - 1800 RPM,30 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
ID-COOLING SL360,https://m.media-amazon.com/images/I/41T1FWmbwKL.jpg,https://pcpartpicker.com/product/z9XV3C/id-cooling-sl360-78-cfm-liquid-cpu-cooler-sl360,,ID-COOLING,N/A,SL360,500 - 2000 RPM,29.9 dB,Black,58 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Thermalright Frozen Warframe ARGB,//cdna.pcpartpicker.com/static/forever/images/product/e85325f118022d8454235c180ed861b6.256p.jpg,https://pcpartpicker.com/product/y3vD4D/thermalright-frozen-warframe-argb-7084-cfm-liquid-cpu-cooler-frozen-warframe-360-white-argb,,Thermalright,N/A,Frozen Warframe 360 WHITE ARGB,2000 RPM,22.1 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
Enermax AQUAFUSION ADV,https://m.media-amazon.com/images/I/413ufc1KmdL.jpg,https://pcpartpicker.com/product/3N7scf/enermax-aquafusion-adv-798-cfm-liquid-cpu-cooler-elc-aqfa360-sqa-w,$72.86 ,Enermax,N/A,ELC-AQFA360-SQA-W,500 - 2000 RPM,15 - 32.6 dB,White,54 mm,"AM2, AM2+, AM3, AM3+, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
ARCTIC Freezer A35,//cdna.pcpartpicker.com/static/forever/images/product/992e3ae1ab4140931cce18dc106c2e40.256p.jpg,https://pcpartpicker.com/product/xDBG3C/arctic-freezer-a35-cpu-cooler-acfre00112a,$42.23 ,ARCTIC,Freezer A35,ACFRE00112A,200 - 1800 RPM,N/A,Black / White,158 mm,"AM4, AM5",No,No,9
ENDORFY Spartan 5,//cdna.pcpartpicker.com/static/forever/images/product/71497cf92663ac447ebd1dd12525c26e.256p.jpg,https://pcpartpicker.com/product/42GhP6/endorfy-spartan-5-cpu-cooler-ey3a001,$35.19 ,ENDORFY,N/A,EY3A001,250 - 1500 RPM,N/A,Black / Silver,146 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,8
ENDORFY Fortis 5 Dual Fan,//cdna.pcpartpicker.com/static/forever/images/product/8a37c42ddfbc903730a86961d0b5bd78.256p.jpg,https://pcpartpicker.com/product/wbHqqs/endorfy-fortis-5-dual-fan-cpu-cooler-ey3a009,$77.67 ,ENDORFY,Fortis 5 Dual Fan,EY3A009,250 - 1400 RPM,N/A,Black / Silver,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
MSI MPG CORELIQUID K240,//cdna.pcpartpicker.com/static/forever/images/product/dcc5fa871e9b557eff1d60c033507f61.256p.jpg,https://pcpartpicker.com/product/Pp8bt6/msi-mpg-coreliquid-k240-774-cfm-liquid-cpu-cooler-mpg-coreliquid-k240,$168.00 ,MSI,MPG CORELIQUID K240,"MPG CoreLiquid K240, 9S6-6A0311-011, CLK240",N/A,0 - 39.9 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
ID-COOLING PINKFLOW 240 V2,//cdna.pcpartpicker.com/static/forever/images/product/119abcc3fd4bb0fa87dce92fa9f92edb.256p.jpg,https://pcpartpicker.com/product/PsddnQ/id-cooling-pinkflow-240-v2-552-cfm-liquid-cpu-cooler-pinkflow-240-v2,,ID-COOLING,N/A,PINKFLOW 240 V2,900 - 2000 RPM,16.3 - 33.5 dB,Pink,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Thermaltake TOUGHLIQUID Ultra RGB,//cdna.pcpartpicker.com/static/forever/images/product/003e23d113f8b1ae0c20222f0dce374c.256p.jpg,https://pcpartpicker.com/product/CbjRsY/thermaltake-toughliquid-ultra-rgb-107-cfm-liquid-cpu-cooler-cl-w370-pl14sw-a,$279.99 ,Thermaltake,N/A,CL-W370-PL14SW-A,500 - 2000 RPM,30.7 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 420 mm,No,8
ID-COOLING SE-224-XTS ARGB,//cdna.pcpartpicker.com/static/forever/images/product/a2e777317adfebf12c6bbb4be2403133.256p.jpg,https://pcpartpicker.com/product/zTTZxr/id-cooling-se-224-xts-argb-70-cfm-cpu-cooler-se-224-xts-argb,,ID-COOLING,N/A,SE-224-XTS ARGB,600 - 1500 RPM,28.9 dB,Black,151 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
BitFenix Cube ARGB,//cdna.pcpartpicker.com/static/forever/images/product/6ad60c4e066af3db40abbb010aca400e.256p.jpg,https://pcpartpicker.com/product/7V9wrH/bitfenix-cube-argb-60-cfm-liquid-cpu-cooler-bfw-aio-240-bb27a-rp,$79.90 ,BitFenix,N/A,BFW-AIO-240-BB27A-RP,2000 RPM,34 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 240 mm,No,8
Enermax AQUAFUSION ADV,//cdna.pcpartpicker.com/static/forever/images/product/71727d73a89310b3fd5af44327c931a9.256p.jpg,https://pcpartpicker.com/product/FYpzK8/enermax-aquafusion-adv-798-cfm-liquid-cpu-cooler-elc-aqfa240-sqa-w,$87.99 ,Enermax,N/A,ELC-AQFA240-SQA-W,500 - 2000 RPM,17 - 32.6 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Fractal Design Celsius S36 Blackout,//cdna.pcpartpicker.com/static/forever/images/product/c9aebc15771ac48fd38e67ec847ca4c3.256p.jpg,https://pcpartpicker.com/product/cmPgXL/fractal-design-celsius-s36-blackout-876-cfm-liquid-cpu-cooler-fd-wcu-celsius-s36-bko,,Fractal Design,Celsius S36 Blackout,FD-WCU-CELSIUS-S36-BKO,500 - 2000 RPM,32.2 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Fractal Design Celsius+ S36 Prisma PWM ARGB,//cdna.pcpartpicker.com/static/forever/images/product/1ae9b0d35fc86b81d0b5d748ef46eb0f.256p.jpg,https://pcpartpicker.com/product/d3jNnQ/fractal-design-celsius-s36-prisma-pwm-argb-8571-cfm-liquid-cpu-cooler-fd-w-2-s3602,$256.20 ,Fractal Design,Celsius+ S36 Prisma PWM ARGB,FD-W-2-S3602,500 - 2000 RPM,32.7 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Corsair H100,//cdna.pcpartpicker.com/static/forever/images/product/a71e82f02280182e6367bc264d151946.256p.jpg,https://pcpartpicker.com/product/RVphP6/corsair-h100-92-cfm-liquid-cpu-cooler-cwch100,$309.52 ,Corsair,H100,CWCH100,1300 - 2500 RPM,22 - 39 dB,N/A,N/A,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Silverstone AR12 RGB,//cdna.pcpartpicker.com/static/forever/images/product/b6fb2fc3fe4d3cd46a82b3a724819223.256p.jpg,https://pcpartpicker.com/product/hbcG3C/silverstone-ar12-rgb-689-cfm-cpu-cooler-sst-ar12-rgb,$38.04 ,Silverstone,AR12 RGB,SST-AR12-RGB,700 - 2200 RPM,9 - 29 dB,Silver / Black,154 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA2011, LGA2011-3, LGA2066",No,No,10
