Name,Image URL,Product URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
NZXT Kraken Z73 RGB,//cdna.pcpartpicker.com/static/forever/images/product/1458789c98b11d505b1407ea9179bf71.256p.jpg,https://pcpartpicker.com/product/fXZ9TW/nzxt-kraken-z73-rgb-5244-cfm-liquid-cpu-cooler-rl-krz73-r1,,NZXT,Kraken Z73 RGB,RL-KRZ73-R1,500 - 1500 RPM,22 - 33 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
EK EK-Nucleus AIO CR240 Lux D-RGB,https://m.media-amazon.com/images/I/31RJl6mHc1L.jpg,https://pcpartpicker.com/product/prytt6/ek-ek-nucleus-aio-cr240-lux-d-rgb-72-cfm-liquid-cpu-cooler-ek-nucleus-aio-cr240-lux-d-rgb,$119.99 ,EK,N/A,"EK-Nucleus AIO CR240 Lux D-RGB, 3831109851678",550 - 2300 RPM,36 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Scythe Mugen 5 Rev. B,https://m.media-amazon.com/images/I/513XTawetRL.jpg,https://pcpartpicker.com/product/8GBrxr/scythe-mugen-5-rev-b-5117-cfm-cpu-cooler-scmg-5100,,Scythe,Mugen 5 Rev. B,SCMG-5100,300 - 1200 RPM,4 - 24.9 dB,Silver / Black,154 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Corsair iCUE H150i ELITE CAPELLIX,//cdna.pcpartpicker.com/static/forever/images/product/2e7811efbb82f51ad2714dc7a2fd7542.256p.jpg,https://pcpartpicker.com/product/7PxRsY/corsair-icue-h150i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060051-ww,$349.84 ,Corsair,iCUE H150i ELITE CAPELLIX,CW-9060051-WW,2400 RPM,10 - 37 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700",Yes - 360 mm,No,9
NZXT Kraken X73 RGB,//cdna.pcpartpicker.com/static/forever/images/product/2a498286fcfa7826c0913bbe1d018bf8.256p.jpg,https://pcpartpicker.com/product/sPjNnQ/nzxt-kraken-x73-rgb-5244-cfm-liquid-cpu-cooler-rl-krx73-r1,$389.95 ,NZXT,Kraken X73 RGB,RL-KRX73-R1,500 - 1500 RPM,22 - 33 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
NZXT Kraken Z53,//cdna.pcpartpicker.com/static/forever/images/product/e84673309feba343ba83c6a99439e1a6.256p.jpg,https://pcpartpicker.com/product/hdsnTW/nzxt-kraken-z53-7311-cfm-liquid-cpu-cooler-rl-krz53-01,$229.99 ,NZXT,Kraken Z53,RL-KRZ53-01,500 - 2000 RPM,21 - 36 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Asus ROG RYUO III 360 ARGB WHITE EDITION,//cdna.pcpartpicker.com/static/forever/images/product/12e1a20cbb65d7a65bd095b260db3252.256p.jpg,https://pcpartpicker.com/product/8rytt6/asus-rog-ryuo-iii-360-argb-white-edition-7007-cfm-liquid-cpu-cooler-rog-ryuo-iii-360-argb-white-edition,$189.99 ,Asus,N/A,"ROG RYUO III 360 ARGB WHITE EDITION, ROG RYUO III 360 ARGB WHIT, ROG RYUO III 360 ARGB WHT",2200 RPM,36.45 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
Thermalright Burst Assassin ARGB,https://m.media-amazon.com/images/I/41zKWwbaLRL.jpg,https://pcpartpicker.com/product/L6wypg/thermalright-burst-assassin-argb-6617-cfm-cpu-cooler-ba120-argb,$22.90 ,Thermalright,N/A,"BA120 ARGB, BA120 ARGB-D1, BA120 ARGB-D2, BA120 ARGB-D3-2",1550 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
NZXT Kraken 280 RGB,//cdna.pcpartpicker.com/static/forever/images/product/3130d07203331f0e1ea94d78487657b2.256p.jpg,https://pcpartpicker.com/product/PsLdnQ/nzxt-kraken-280-rgb-9079-cfm-liquid-cpu-cooler-rl-kr280-b1,$159.99 ,NZXT,Kraken 280 RGB,RL-KR280-B1,500 - 1500 RPM,34.48 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 280 mm,No,10
ARCTIC Alpine 23,//cdna.pcpartpicker.com/static/forever/images/product/3f4e2db365667ee5ddbdb82520762e25.256p.jpg,https://pcpartpicker.com/product/MKBG3C/arctic-alpine-23-cpu-cooler-acalp00035a,$11.99 ,ARCTIC,Alpine 23,ACALP00035A,100 - 2000 RPM,N/A,White / Black,65 mm,"AM4, AM5",No,No,9
Vetroo V240,https://m.media-amazon.com/images/I/41MKt-RUXfL.jpg,https://pcpartpicker.com/product/qpnypg/vetroo-v240-52-cfm-liquid-cpu-cooler-vt-aio-v240-wt,$64.98 ,Vetroo,V240,"VT-AIO-V240-WT, V240 WH, V240 White",1800 RPM,30.8 dB,White / Gray,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
MSI MAG CORELIQUID E360 WHITE,//cdna.pcpartpicker.com/static/forever/images/product/eaef12e213bf77e4060efce016b9f6ed.256p.jpg,https://pcpartpicker.com/product/kgCZxr/msi-mag-coreliquid-e360-white-7504-cfm-liquid-cpu-cooler-mag-coreliquid-e360-white,$89.00 ,MSI,N/A,"MAG CORELIQUID E360 WHITE, 306-7ZW6E21-C24, MAG CORELIQUID E360 WH",N/A,N/A,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,6
ARCTIC Liquid Freezer III A-RGB,https://m.media-amazon.com/images/I/31CvdI0NKiL.jpg,https://pcpartpicker.com/product/P2GhP6/arctic-liquid-freezer-iii-a-rgb-699-cfm-liquid-cpu-cooler-acfre00153a,$154.99 ,ARCTIC,N/A,ACFRE00153A,200 - 1900 RPM,N/A,White,N/A,"AM4, AM5, LGA1700",Yes - 420 mm,No,7
Lian Li Galahad II LCD,//cdna.pcpartpicker.com/static/forever/images/product/d025e0ad26257e394b1d552a9c27d3c4.256p.jpg,https://pcpartpicker.com/product/nFxxFT/lian-li-galahad-ii-lcd-799-cfm-liquid-cpu-cooler-ga2alcd36b,$224.99 ,Lian Li,N/A,GA2ALCD36B,300 - 2450 RPM,30 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
Thermaltake UX200 SE ARGB,https://m.media-amazon.com/images/I/41vxvxQ7oYL.jpg,https://pcpartpicker.com/product/G3pzK8/thermaltake-ux200-se-argb-6272-cfm-cpu-cooler-cl-p105-al12sw-a,$19.98 ,Thermaltake,N/A,CL-P105-AL12SW-A,800 - 1800 RPM,25 dB,Black,156 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
