Name,Image URL,Product URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Core i7-2600K,https://images-na.ssl-images-amazon.com/images/I/51bCM4jw7oL.jpg,https://pcpartpicker.com/product/LTckcf/intel-cpu-bx80623i72600k,$85.00 ,Intel,BX80623I72600K,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i3-6100,https://m.media-amazon.com/images/I/51m7931xzhL.jpg,https://pcpartpicker.com/product/hV7CmG/intel-cpu-bx80662i36100,$100.00 ,Intel,BX80662I36100,Intel Core i3,Skylake,Skylake-S,LGA1151,2,3.7 GHz,,,,0.5 MB,3 MB,51 W,Intel HD Graphics 530,64 GB,Yes,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i9-11900F,//cdna.pcpartpicker.com/static/forever/images/product/4661b942055a470174e1a056c3e6c042.256p.jpg,https://pcpartpicker.com/product/RvfnTW/intel-core-i9-11900f-25-ghz-8-core-processor-bx8070811900f,$210.00 ,Intel,BX8070811900F,Intel Core i9,Rocket Lake,Rocket Lake-S,LGA1200,8,2.5 GHz,5.2 GHz,,,4 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-8700K,//cdna.pcpartpicker.com/static/forever/images/product/4c66195cca0b7d335a79c8649245abfa.256p.jpg,https://pcpartpicker.com/product/cjPzK8/intel-core-i7-8700k-37ghz-6-core-processor-cm8068403358220,$272.50 ,Intel,CM8068403358220,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,3.7 GHz,4.7 GHz,,,1.5 MB,12 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2683 V4,//cdna.pcpartpicker.com/static/forever/images/product/acbbf09e0391f7599810e37d7ed1f9de.256p.jpg,https://pcpartpicker.com/product/T6rcCJ/intel-cpu-bx80660e52683v4,"$1,998.95 ",Intel,BX80660E52683V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,16,2.1 GHz,3 GHz,,,4 MB,40 MB,120 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 PRO 7945,//cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg,https://pcpartpicker.com/product/jTrqqs/amd-ryzen-9-pro-7945-37-ghz-12-core-oemtray-processor-100-000000598,,AMD,100-000000598,AMD Ryzen 9 PRO,Zen 4,Raphael,AM5,12,3.7 GHz,5.4 GHz,,,12 MB,64 MB,65 W,Radeon,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i5-10500,//cdna.pcpartpicker.com/static/forever/images/product/bc6d01e56cc2c1813982ca841d3e7ae1.256p.jpg,https://pcpartpicker.com/product/JKbCmG/intel-core-i5-10500-31-ghz-6-core-processor-bx8070110500,$238.99 ,Intel,BX8070110500,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,3.1 GHz,4.5 GHz,,,1.5 MB,12 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Threadripper 1920X,//cdna.pcpartpicker.com/static/forever/images/product/dfb011931e97f85c79165ed9e97aec59.256p.jpg,https://pcpartpicker.com/product/cRDzK8/amd-threadripper-1920x-35ghz-12-core-processor-yd192xa8aewof,$270.00 ,AMD,YD192XA8AEWOF,AMD Threadripper,Zen,Whitehaven,sTR4,12,3.5 GHz,4 GHz,,,6 MB,32 MB,180 W,None,1024 GB,Yes,No,Boxed,14 nm,No,Yes
AMD Athlon II X2 240,/static/forever/img/no-image.png,https://pcpartpicker.com/product/vZTmP6/amd-cpu-adx240ock23gq,$29.48 ,AMD,ADX240OCK23GQ,AMD Athlon II X2,K10,Regor,AM3,2,2.8 GHz,,,,2 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Ryzen 3 3200G,//cdna.pcpartpicker.com/static/forever/images/product/1367e7b7cd727836ed3685b95c2be94e.256p.jpg,https://pcpartpicker.com/product/P3CFf7/amd-ryzen-3-3200g-36-ghz-quad-core-oemtray-processor-yd3200c5m4mfh,,AMD,YD3200C5M4MFH,AMD Ryzen 3,Zen+,Picasso,AM4,4,3.6 GHz,4 GHz,,,2 MB,4 MB,65 W,Radeon Vega 8,64 GB,No,No,OEM/Tray,12 nm,No,No
Intel Core i7-6900K,//cdna.pcpartpicker.com/static/forever/images/product/8f6d753be524daf5a9c04d9131cb6f27.256p.jpg,https://pcpartpicker.com/product/NXyxFT/intel-cpu-bx80671i76900k,$120.00 ,Intel,BX80671I76900K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,8,3.2 GHz,3.7 GHz,,,2 MB,20 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i7-6800K,//cdna.pcpartpicker.com/static/forever/images/product/6a1373e54fbd08524d23f61ac7eb9711.256p.jpg,https://pcpartpicker.com/product/Td98TW/intel-cpu-bx80671i76800k,$103.00 ,Intel,BX80671I76800K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,6,3.4 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,None,,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Celeron G4900,//cdna.pcpartpicker.com/static/forever/images/product/67d6c57eae5170d56282ab69bf97d70b.256p.jpg,https://pcpartpicker.com/product/bWBTwP/intel-celeron-g4900-31ghz-dual-core-oemtray-processor-cm8068403378112,$48.59 ,Intel,CM8068403378112,Intel Celeron,Coffee Lake,Coffee Lake,LGA1151,2,3.1 GHz,,,,0.5 MB,2 MB,65 W,Intel UHD Graphics 610,64 GB,Yes,No,OEM/Tray,14 nm,No,No
Intel Pentium Gold G7400,//cdna.pcpartpicker.com/static/forever/images/product/eb5f4691a0ee2ac68328fbedd3956538.256p.jpg,https://pcpartpicker.com/product/KsBG3C/intel-pentium-gold-g7400-37-ghz-dual-core-processor-bx80715g7400,$102.75 ,Intel,BX80715G7400,Intel Pentium Gold,Alder Lake,Alder Lake,LGA1700,2,3.7 GHz,,,,2.5 MB,6 MB,46 W,Intel UHD Graphics 710,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-12600,//cdna.pcpartpicker.com/static/forever/images/product/7a8133e4d1ab12830ce867e2958bbc2b.256p.jpg,https://pcpartpicker.com/product/HqXJ7P/intel-core-i5-12600-33-ghz-6-core-processor-bx8071512600,$334.17 ,Intel,BX8071512600,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,3.3 GHz,4.8 GHz,,,7.5 MB,18 MB,65 W,Intel UHD Graphics 770,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i7-5820K,https://m.media-amazon.com/images/I/51pPTqeTiRL.jpg,https://pcpartpicker.com/product/6tXfrH/intel-cpu-bx80648i75820k,,Intel,BX80648I75820K,Intel Core i7,Haswell,Haswell-E,LGA2011-3,6,3.3 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,None,64 GB,No,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Pentium G640,https://m.media-amazon.com/images/I/41Gl0OxUH8L.jpg,https://pcpartpicker.com/product/yg9KHx/intel-cpu-bx80623g640,$30.00 ,Intel,BX80623G640,Intel Pentium,Sandy Bridge,Sandy Bridge,LGA1155,2,2.8 GHz,,,,0.5 MB,3 MB,65 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i9-9900K,//cdna.pcpartpicker.com/static/forever/images/product/f4d973b5641fed5e6a0ea0116fcd3426.256p.jpg,https://pcpartpicker.com/product/z6gzK8/intel-core-i9-9900k-36ghz-8-core-oemtray-processor-cm8068403873914,$699.99 ,Intel,CM8068403873914,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,3.6 GHz,5 GHz,,,2 MB,16 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-2500K,https://images-na.ssl-images-amazon.com/images/I/51iunH%2BDgEL.jpg,https://pcpartpicker.com/product/4WqdnQ/intel-cpu-bx80623i52500k,,Intel,BX80623I52500K,Intel Core i5,Sandy Bridge,Sandy Bridge,LGA1155,4,3.3 GHz,,,,0.5 MB,6 MB,95 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,No
