Name,Image URL,Product URL,Price,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,,
Corsair MP600 PRO NH,//cdna.pcpartpicker.com/static/forever/images/product/b9354d5f408a8a8f84148d0dc78cf2e2.256p.jpg,https://pcpartpicker.com/product/T8LFf7/corsair-mp600-pro-nh-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f8000gbmp600pnh,$979.99 ,"
Corsair
",CSSD-F8000GBMP600PNH,"
8 TB
","
$0.122
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
TEAMGROUP T-Force Vulcan Z,//cdna.pcpartpicker.com/static/forever/images/product/cdef80d378b1ec2bf07dff0b42837897.256p.jpg,https://pcpartpicker.com/product/BvGbt6/teamgroup-t-force-vulcan-z-1-tb-25-solid-state-drive-t253tz001t0c101,$54.99 ,"
TEAMGROUP
",T253TZ001T0C101,"
1 TB
","
$0.055
","
SSD
",N/A,"
2.5",,,,
Western Digital Green SN350,//cdna.pcpartpicker.com/static/forever/images/product/57b87f0a167a06e77da78f9812f28367.256p.jpg,https://pcpartpicker.com/product/zRnypg/western-digital-green-sn350-1-tb-m2-2280-nvme-solid-state-drive-wds100t3g0c,$67.79 ,"
Western Digital
",WDS100T3G0C,"
1 TB
","
$0.068
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Patriot P300,//cdna.pcpartpicker.com/static/forever/images/product/bbe3d900dc2abf2a0828e4860619a58e.256p.jpg,https://pcpartpicker.com/product/2T848d/patriot-p300-512-gb-m2-2280-nvme-solid-state-drive-p300p512gm28,$36.99 ,"
Patriot
",P300P512GM28,"
512 GB
","
$0.072
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Kingston KC3000,https://m.media-amazon.com/images/I/31IQ1jS7RgL.jpg,https://pcpartpicker.com/product/ccFbt6/kingston-kc3000-1024-tb-m2-2280-nvme-solid-state-drive-skc3000s1024g,$99.99 ,"
Kingston
",SKC3000S/1024G,"
1.024 TB
","
$0.098
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Crucial P5 Plus,//cdna.pcpartpicker.com/static/forever/images/product/43c2b68eaed9cd66fa6d7d71ee8e2756.256p.jpg,https://pcpartpicker.com/product/VZWzK8/crucial-p5-plus-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000p5pssd8,$178.29 ,"
Crucial
",CT2000P5PSSD8,"
2 TB
","
$0.089
","
SSD
","
2048 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Western Digital Blue SN570,//cdna.pcpartpicker.com/static/forever/images/product/820f4e4ac27af85645afeaabc7b82f04.256p.jpg,https://pcpartpicker.com/product/9FH7YJ/western-digital-blue-sn570-500-gb-m2-2280-nvme-solid-state-drive-wds500g3b0c,$43.98 ,"
Western Digital
",WDS500G3B0C,"
500 GB
","
$0.088
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
VisionTek QLC,//cdna.pcpartpicker.com/static/forever/images/product/a03d235168f03f49218ac849cf3f6db3.256p.jpg,https://pcpartpicker.com/product/yGxRsY/visiontek-qlc-8-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-901365,"$1,499.99 ","
VisionTek
",901365,"
8 TB
","
$0.187
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Acer Predator GM7000,//cdna.pcpartpicker.com/static/forever/images/product/1181de6bb1f33eb13aba4cab40a3d10c.256p.jpg,https://pcpartpicker.com/product/GyZ9TW/acer-predator-gm7000-1-tb-m2-2280-nvme-solid-state-drive-bl9bwwr105,$84.99 ,"
Acer
",BL.9BWWR.105,"
1 TB
","
$0.085
","
SSD
","
1024 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Sabrent Rocket 5,//cdna.pcpartpicker.com/static/forever/images/product/c5191c0bb7213d7457c25871f043b7fb.256p.jpg,https://pcpartpicker.com/product/mTxxFT/sabrent-rocket-5-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sb-rkt5-4tb,$729.99 ,"
Sabrent
",SB-RKT5-4TB,"
4 TB
","
$0.182
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 5.0 X4
",No,,
Western Digital WD_BLACK,//cdna.pcpartpicker.com/static/forever/images/product/ec18382394ec2952a8e9d49c60848c98.256p.jpg,https://pcpartpicker.com/product/dGHRsY/western-digital-wd_black-4-tb-35-7200rpm-internal-hard-drive-wd4005fzbx,$139.99 ,"
Western Digital
",WD4005FZBX,"
4 TB
","
$0.035
","
7200 RPM
","
256 MB
","
3.5",,,,
Samsung 980 Pro w/Heatsink,//cdna.pcpartpicker.com/static/forever/images/product/b2412d4f6cdb883eafbc4a27afa07878.256p.jpg,https://pcpartpicker.com/product/fVC48d/samsung-980-pro-heatsink-2-tb-m2-2280-nvme-solid-state-drive-mz-v8p2t0cw,$184.00 ,"
Samsung
",MZ-V8P2T0CW,"
2 TB
","
$0.092
","
SSD
","
2048 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 990 Pro w/Heatsink,//cdna.pcpartpicker.com/static/forever/images/product/ee5dce8b58c4c1e8661c97a35289d2fb.256p.jpg,https://pcpartpicker.com/product/7RQcCJ/samsung-990-pro-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p2t0cw,$199.99 ,"
Samsung
","MZ-V9P2T0CW, MZ-V9P2T0GW","
2 TB
","
$0.100
","
SSD
","
2048 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Kingston A400,//cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg,https://pcpartpicker.com/product/WGZ2FT/kingston-a400-480gb-25-solid-state-drive-sa400s37480g,$37.79 ,"
Kingston
",SA400S37/480G,"
480 GB
","
$0.079
","
SSD
",N/A,"
2.5",,,,
Kingston Fury Renegade,//cdna.pcpartpicker.com/static/forever/images/product/f53b8d7adbe5755ba2e272aa945f3517.256p.jpg,https://pcpartpicker.com/product/FyZ9TW/kingston-fury-renegade-2-tb-m2-2280-nvme-solid-state-drive-sfyrd2000g,$172.99 ,"
Kingston
",SFYRD/2000G,"
2 TB
","
$0.086
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
MSI SPATIUM M480 PRO,https://m.media-amazon.com/images/I/31lCFXBNlyL.jpg,https://pcpartpicker.com/product/xVDQzy/msi-spatium-m480-pro-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-s78-440l1g0-p83,$84.00 ,"
MSI
","S78-440L1G0-P83, SPATIUM M480 PRO PCIE 4.0 NVME M.2 1TB","
1 TB
","
$0.084
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Patriot P300,//cdna.pcpartpicker.com/static/forever/images/product/83730873ee20dac30e1dab0d836e9e6b.256p.jpg,https://pcpartpicker.com/product/k8n8TW/patriot-p300-128-gb-m2-2280-nvme-solid-state-drive-p300p128gm28,$17.98 ,"
Patriot
",P300P128GM28,"
128 GB
","
$0.140
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Leven JPS800,https://m.media-amazon.com/images/I/31AgFXNONGL.jpg,https://pcpartpicker.com/product/sRBzK8/leven-jps800-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-jps800-1tb,$59.99 ,"
Leven
",JPS800-1TB,"
1 TB
","
$0.060
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Leven JPS600,https://m.media-amazon.com/images/I/41pQY8HA7VL.jpg,https://pcpartpicker.com/product/Dpgrxr/leven-jps600-2-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-jps600-2tb,$99.99 ,"
Leven
",JPS600-2TB,"
2 TB
","
$0.050
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
TEAMGROUP MS30,//cdna.pcpartpicker.com/static/forever/images/product/5a212a1564ec18108d51278cfd472e10.256p.jpg,https://pcpartpicker.com/product/vY3H99/team-ms30-512-gb-m2-2280-solid-state-drive-tm8ps7512g0c101,$33.99 ,"
TEAMGROUP
",TM8PS7512G0C101,"
512 GB
","
$0.066
","
SSD
",N/A,"
M.2-2280
","
M.2 SATA
",No,,
Kingston A400,//cdna.pcpartpicker.com/static/forever/images/product/0e5f348eea062654a82c98f7f373b8ae.256p.jpg,https://pcpartpicker.com/product/hGprxr/kingston-a400-960-gb-25-solid-state-drive-sa400s37960g,$61.99 ,"
Kingston
",SA400S37/960G,"
960 GB
","
$0.065
","
SSD
",N/A,"
2.5",,,,
Seagate Exos X14,//cdna.pcpartpicker.com/static/forever/images/product/5353776f9a75b176f47cc8e4c179307d.256p.jpg,https://pcpartpicker.com/product/fmfhP6/seagate-exos-x14-12-tb-35-7200rpm-internal-hard-drive-st12000nm0008,$198.99 ,"
Seagate
",ST12000NM0008,"
12 TB
","
$0.017
","
7200 RPM
","
256 MB
","
3.5",,,,
Samsung 860 Evo,//cdna.pcpartpicker.com/static/forever/images/product/50adb27c43f4a13c15135378f031d5c0.256p.jpg,https://pcpartpicker.com/product/yzfhP6/samsung-860-evo-1tb-25-solid-state-drive-mz-76e1t0bam,,"
Samsung
","MZ-76E1T0B/AM, MZ-76E1T0B/EU","
1 TB
","
$0.150
","
SSD
","
1024 MB
","
2.5",,,,
