Name,Image URL,Product URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
G.Skill Trident Z5 RGB 64 GB,https://m.media-amazon.com/images/I/31JXcCFBoFL.jpg,https://pcpartpicker.com/product/9nRYcf/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-f5-5600j3636d32ga2-tz5rk,$198.99 ,"
G.Skill
",F5-5600J3636D32GA2-TZ5RK,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.109
","
Black
","
12.857 ns
","
36
","
1.25 V
","
36-36-36-89
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LPX 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/4b9b900e1c54dd650b23c5b1ba8052d3.256p.jpg,https://pcpartpicker.com/product/gv22FT/corsair-vengeance-lpx-16gb-2-x-8gb-ddr4-2933-memory-cmk16gx4m2z2933c16,$49.99 ,"
Corsair
",CMK16GX4M2Z2933C16,"
DDR4-2933
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$3.124
","
Black / Yellow
","
10.91 ns
","
16
","
1.35 V
","
16-18-18-36
","
Non-ECC / Unbuffered
","
Yes
",13
Thermaltake TOUGHRAM RGB 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/317e4de2cb5da0be0bc9f873f5391366.256p.jpg,https://pcpartpicker.com/product/DV2bt6/thermaltake-toughram-rgb-16-gb-2-x-8-gb-ddr4-3600-memory-r022d408gx2-3600c18a,$134.98 ,"
Thermaltake
",R022D408GX2-3600C18A,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$8.436
","
White / Silver
","
10 ns
","
18
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
Corsair Vengeance 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg,https://pcpartpicker.com/product/6ZcgXL/corsair-vengeance-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-cmk64gx5m2b5600c36,$224.99 ,"
Corsair
",CMK64GX5M2B5600C36,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.515
","
Black / Gray
","
12.857 ns
","
36
","
1.25 V
","
36-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Crucial CT2KIT25664AA800 4 GB,//cdna.pcpartpicker.com/static/forever/images/product/76d15631a8a940c4afdff1ff64cdb359.256p.jpg,https://pcpartpicker.com/product/cQQypg/crucial-memory-ct2kit25664aa800,$31.49 ,"
Crucial
",CT2KIT25664AA800,"
DDR2-800
","
240-pin DIMM (DDR2)
","
2 x 2GB
","
$7.872
","
Green
","
15 ns
","
6
","
1.8 V
",N/A,"
Non-ECC / Unbuffered
","
No
",12
G.Skill Ripjaws V 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/185a12fd87f898ef2ce0c996bc702caf.256p.jpg,https://pcpartpicker.com/product/dPKKHx/gskill-ripjaws-v-16-gb-2-x-8-gb-ddr4-5333-cl22-memory-f4-5333c22d-16gvk,,"
G.Skill
",F4-5333C22D-16GVK,"
DDR4-5333
","
288-pin DIMM (DDR4)
","
2 x 8GB
",N/A,"
Black
","
8.251 ns
","
22
","
1.6 V
","
22-32-32-52
","
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Flare X5 16 GB,/static/forever/img/no-image.png,https://pcpartpicker.com/product/Jfrqqs/gskill-flare-x5-16-gb-1-x-16-gb-ddr5-5600-cl36-memory-f5-5600j3636c16gx1-fx5,,"
G.Skill
",F5-5600J3636C16GX1-FX5,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
1 x 16GB
",N/A,"
Black
","
12.857 ns
","
36
","
1.1 V
","
36-36-36-89
","
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Trident Z Neo 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/37215490a1482af82a8a1a0a93590829.256p.jpg,https://pcpartpicker.com/product/RLDkcf/gskill-trident-z-neo-32-gb-2-x-16-gb-ddr4-3200-memory-f4-3200c16d-32gtzn,$89.99 ,"
G.Skill
",F4-3200C16D-32GTZN,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.812
","
Silver / Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",13
Patriot Viper Elite II 32 GB,https://m.media-amazon.com/images/I/41TTZKaBOwS.jpg,https://pcpartpicker.com/product/7qddnQ/patriot-viper-elite-ii-32-gb-2-x-16-gb-ddr4-3200-cl18-memory-pve2432g320c8k,$59.99 ,"
Patriot
",PVE2432G320C8K,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$1.875
","
Red / Black
","
11.25 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston Server Premier 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/060e159c8516e27d4101d2093a1ebb08.256p.jpg,https://pcpartpicker.com/product/qDn9TW/kingston-server-premier-32-gb-1-x-32-gb-ddr5-5600-cl46-memory-ksm56e46bd8km-32ha,$119.99 ,"
Kingston
",KSM56E46BD8KM-32HA,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
1 x 32GB
","
$3.750
","
Green / Black
","
16.429 ns
","
46
","
1.1 V
",N/A,"
ECC / Unbuffered
","
No
",12
