Name,Image URL,Product URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume,
Silverstone FT01-B,https://m.media-amazon.com/images/I/41TS3ouKhGL.jpg,https://pcpartpicker.com/product/YDH323/silverstone-case-ft01bw,,Silverstone,"FT01-BW, SST-FT01-BW",ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","304 mm / 11.969""","5 x External 5.25"", 7 x Internal 3.5""",7 x Full-Height,"494 mm x 211 mm x 496 mm, 19.449"" x 8.307"" x 19.528""","51.7 L, 1.826 ft³",
Silverstone GD01B-MXR,https://images-na.ssl-images-amazon.com/images/I/316qot6SijL.jpg,https://pcpartpicker.com/product/sVK7YJ/silverstone-case-gd01bmxr,,Silverstone,GD01B-MXR,HTPC,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","248 mm / 9.764""","2 x External 5.25"", 6 x Internal 3.5""",7 x Full-Height,"429 mm x 429 mm x 170 mm, 16.89"" x 16.89"" x 6.693""","31.287 L, 1.105 ft³",
Silverstone GD01B-MXR,https://images-na.ssl-images-amazon.com/images/I/3134LTw-09L.jpg,https://pcpartpicker.com/product/Rng323/silverstone-case-gd01br,,Silverstone,GD01B-R,HTPC,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","248 mm / 9.764""","2 x External 5.25"", 6 x Internal 3.5""",7 x Full-Height,"429 mm x 429 mm x 170 mm, 16.89"" x 16.89"" x 6.693""","31.287 L, 1.105 ft³",
Silverstone KL03-B,https://m.media-amazon.com/images/I/41935UrPOtL.jpg,https://pcpartpicker.com/product/krjG3C/silverstone-case-kl03s,,Silverstone,"KL03S, SST-KL03S",ATX Full Tower,Silver,None,None,No,USB 2.0 Type-A,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB","304 mm / 11.969""","4 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"594 mm x 219 mm x 524 mm, 23.386"" x 8.622"" x 20.63""","68.165 L, 2.407 ft³",
Silverstone SG01-BF,https://images-na.ssl-images-amazon.com/images/I/41E03ylOauL.jpg,https://pcpartpicker.com/product/FjxfrH/silverstone-case-sg01bf,,Silverstone,"SG01-BF, SST-SG01-BF",MicroATX Desktop,Black,None,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX","243 mm / 9.567""","2 x External 5.25"", 2 x Internal 3.5""",4 x Full-Height,"392 mm x 262 mm x 212 mm, 15.433"" x 10.315"" x 8.346""","21.773 L, 0.769 ft³",
Silverstone SG05-B,https://images-na.ssl-images-amazon.com/images/I/41qzPhuHCsL.jpg,https://pcpartpicker.com/product/JdQypg/silverstone-case-sg05b,,Silverstone,SG05-B,Mini ITX Desktop,Black,300 W,None,No,USB 2.0 Type-A,"Mini ITX, Thin Mini ITX","254 mm / 10""","1 x External 5.25"" Slim, 1 x Internal 3.5"", 1 x Internal 2.5""",2 x Full-Height,"276 mm x 221 mm x 176 mm, 10.866"" x 8.701"" x 6.929""","10.735 L, 0.379 ft³",
Silverstone TJ09-B,https://images-na.ssl-images-amazon.com/images/I/41UfnsvAfEL.jpg,https://pcpartpicker.com/product/MXrG3C/silverstone-case-tj09b,,Silverstone,TJ09-B,ATX Full Tower,Black,None,None,No,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"604 mm x 210 mm x 525 mm, 23.78"" x 8.268"" x 20.669""","66.591 L, 2.352 ft³",
Sunbeam IC-TR-US-BA-WOPSU,/static/forever/img/no-image.png,https://pcpartpicker.com/product/37jG3C/sunbeam-case-ictrusbawopsu,,Sunbeam,IC-TR-US-BA-WOPSU,ATX Full Tower,Black / Silver,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"450 mm x 204 mm x 521 mm, 17.717"" x 8.031"" x 20.512""","47.828 L, 1.689 ft³",
XClio A380PLUS,/static/forever/img/no-image.png,https://pcpartpicker.com/product/mw2kcf/xclio-case-a380plusbk,,XClio,A380PLUS-BK,ATX Full Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, EATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 1 x External 3.5"", 7 x Internal 3.5""",7 x Full-Height,"569 mm x 204 mm x 563 mm, 22.402"" x 8.031"" x 22.165""","65.351 L, 2.308 ft³",
XClio WTBK ADVANCED,//cdna.pcpartpicker.com/static/forever/images/product/818dce680fc16bfffc0c63b1d845eca7.med.256p.jpg,https://pcpartpicker.com/product/KQW9TW/xclio-case-wtbkadvanced,,XClio,WTBK ADVANCED,ATX Full Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, EATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"560 mm x 240 mm x 563 mm, 22.047"" x 9.449"" x 22.165""","75.667 L, 2.672 ft³",
XClio XCLIO 2000,/static/forever/img/no-image.png,https://pcpartpicker.com/product/LxJwrH/xclio-case-xclio2000,,XClio,XCLIO 2000,ATX Full Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, EATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 12 x Internal 3.5""",8 x Full-Height,"590 mm x 240 mm x 659 mm, 23.228"" x 9.449"" x 25.945""","93.314 L, 3.295 ft³",
Xigmatek Utgard Window,https://m.media-amazon.com/images/I/21NsQgy+tGL.jpg,https://pcpartpicker.com/product/j73RsY/xigmatek-case-cpct90dbu02,,Xigmatek,CPC-T90DB-U02,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","330 mm / 12.992""","9 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"515 mm x 205 mm x 490 mm, 20.276"" x 8.071"" x 19.291""","51.732 L, 1.827 ft³",
